"","weight","std","w.low","w.high","volumn"
"SP500",1.09836655380462,0.0201136577597234,1.05418221588871,1.14255089172052,5.49782434310307
"GOLD",0.901633446195386,0.0244031145095661,0.857628117729065,0.945638774661707,8.3860392770143
