"Index","price"
2008-08-08,2602.96985
2008-08-11,2594.95368
2008-08-12,2613.298858
2008-08-13,2606.353148
2008-08-14,2615.69519
2008-08-15,2625.7827
2008-08-18,2632.00526
2008-08-19,2625.215131
2008-08-20,2631.108048
2008-08-21,2620.165086
2008-08-22,2610.254348
2008-08-25,2630.517183
2008-08-26,2629.70048
2008-08-27,2628.882
2008-08-28,2621.828072
2008-08-29,2626.544937
2008-09-02,2635.55643
2008-09-03,2647.232422
2008-09-04,2653.3934
2008-09-05,2652.349172
2008-09-08,2647.031036
2008-09-09,2658.710908
2008-09-10,2651.081295
2008-09-11,2659.624158
2008-09-12,2639.13825
2008-09-15,2690.717256
2008-09-16,2686.285511
2008-09-17,2701.517532
2008-09-18,2696.75701
2008-09-19,2633.2521
2008-09-22,2624.50862
2008-09-23,2615.69777
2008-09-24,2635.77
2008-09-25,2616.98748
2008-09-26,2634.542088
2008-09-29,2671.505628
2008-09-30,2633.720676
2008-10-01,2644.878189
2008-10-02,2666.234901
2008-10-03,2668.630686
2008-10-06,2709.377826
2008-10-07,2684.234672
2008-10-08,2638.634736
2008-10-09,2616.548415
2008-10-10,2628.741
2008-10-14,2595.104568
2008-10-15,2598.42934
2008-10-16,2606.996172
2008-10-17,2607.140809
2008-10-20,2615.450193
2008-10-21,2647.473312
2008-10-22,2659.655158
2008-10-23,2674.73115
2008-10-24,2656.537415
2008-10-27,2651.8401
2008-10-28,2635.810296
2008-10-29,2627.478075
2008-10-30,2618.68869
2008-10-31,2615.28801
2008-11-03,2628.975926
2008-11-04,2649.42852
2008-11-05,2657.340144
2008-11-06,2654.975352
2008-11-07,2646.6264
2008-11-10,2653.05096
2008-11-12,2675.086024
2008-11-13,2668.8225
2008-11-14,2678.53775
2008-11-17,2690.79378
2008-11-18,2712.971976
2008-11-19,2736.5078
2008-11-20,2777.062385
2008-11-21,2764.042755
2008-11-24,2732.821906
2008-11-25,2769.8616
2008-11-26,2790.001959
2008-11-28,2797.185561
2008-12-01,2864.600343
2008-12-02,2868.048963
2008-12-03,2870.850268
2008-12-04,2892.038084
2008-12-05,2868.195936
2008-12-08,2857.027812
2008-12-09,2868.380285
2008-12-10,2861.741405
2008-12-11,2871.695796
2008-12-12,2880.487225
2008-12-15,2887.828196
2008-12-16,2919.8032
2008-12-17,2936.786645
2008-12-18,2955.64787
2008-12-19,2949.29505
2008-12-22,2949.151756
2008-12-23,2944.58106
2008-12-24,2932.9858
2008-12-26,2946.24891
2008-12-29,2956.09962
2008-12-30,2948.992976
2008-12-31,2917.71949
2009-01-02,2886.60661
2009-01-05,2884.042015
2009-01-06,2885.481555
2009-01-07,2887.905435
2009-01-08,2899.211393
2009-01-09,2908.77867
2009-01-12,2926.0648
2009-01-13,2926.677808
2009-01-14,2941.2372
2009-01-15,2942.56633
2009-01-16,2924.492728
2009-01-20,2919.87562
2009-01-21,2886.216606
2009-01-22,2873.185875
2009-01-23,2868.638577
2009-01-26,2863.235214
2009-01-27,2882.865153
2009-01-28,2859.610173
2009-01-29,2833.482519
2009-01-30,2827.9129
2009-02-02,2855.202075
2009-02-03,2829.846445
2009-02-04,2814.71958
2009-02-05,2819.98672
2009-02-06,2807.503176
2009-02-09,2802.840663
2009-02-10,2830.066596
2009-02-11,2845.276148
2009-02-12,2857.50845
2009-02-13,2833.208931
2009-02-17,2868.93248
2009-02-18,2854.686492
2009-02-19,2831.195745
2009-02-20,2847.215196
2009-02-23,2843.70764
2009-02-24,2838.915333
2009-02-25,2812.359368
2009-02-26,2807.859986
2009-02-27,2803.757228
2009-03-02,2830.95216
2009-03-03,2824.81406
2009-03-04,2811.747758
2009-03-05,2843.104888
2009-03-06,2840.4468
2009-03-09,2832.035405
2009-03-10,2815.92024
2009-03-11,2827.068916
2009-03-12,2833.930332
2009-03-13,2837.716236
2009-03-16,2827.842199
2009-03-17,2817.363797
2009-03-18,2906.15696
2009-03-19,2892.49608
2009-03-20,2893.237875
2009-03-23,2891.03909
2009-03-24,2888.537025
2009-03-25,2868.841382
2009-03-26,2877.995928
2009-03-27,2872.91901
2009-03-30,2885.181932
2009-03-31,2890.86987
2009-04-01,2896.538986
