"Index","SP500.usd"
2006-11-08,10903.260676
2006-11-09,10842.632945
2006-11-10,10860.08805
2006-11-13,10886.38667
2006-11-14,10959.76513
2006-11-15,10988.911045
2006-11-16,11018.21084
2006-11-17,11030.2464
2006-11-20,11027.537
2006-11-21,11039.413295
2006-11-22,11057.632369
2006-11-24,11004.602345
2006-11-27,10838.0213
2006-11-28,10878.8184
2006-11-29,10967.02502
2006-11-30,10971.554979
2006-12-01,10936.937655
2006-12-04,11029.8868
2006-12-05,11068.37486
2006-12-06,11053.68186
2006-12-07,11022.458196
2006-12-08,11031.29308
2006-12-11,11063.114072
2006-12-12,11053.22058
2006-12-13,11058.36825
2006-12-14,11147.189251
2006-12-15,11171.117811
2006-12-18,11124.078096
2006-12-19,11149.083995
2006-12-20,11125.171656
2006-12-21,11085.4328
2006-12-22,11027.20554
2006-12-26,11081.14983
2006-12-27,11152.18144
2006-12-28,11132.127855
2006-12-29,11073.37725
2007-01-03,11072.1456
2007-01-04,11070.85287
2007-01-05,11008.42539
2007-01-08,11038.095068
2007-01-09,11023.777926
2007-01-10,11045.026525
2007-01-11,11098.392136
2007-01-12,11155.831029
2007-01-16,11154.64419
2007-01-17,11123.0705
2007-01-18,11083.608085
2007-01-19,11124.28325
2007-01-22,11061.871005
2007-01-23,11104.764235
2007-01-24,11193.266412
2007-01-25,11061.13998
2007-01-26,11060.29386
2007-01-29,11043.89988
2007-01-30,11110.50432
2007-01-31,11182.028352
2007-02-01,11218.759272
2007-02-02,11233.71284
2007-02-05,11226.471915
2007-02-06,11232.136
2007-02-07,11234.75496
2007-02-08,11222.664528
2007-02-09,11145.68403
2007-02-12,11117.21772
2007-02-13,11207.4576
2007-02-14,11291.6727
2007-02-15,11298.289955
2007-02-16,11280.726108
2007-02-20,11312.811936
2007-02-21,11296.924026
2007-02-22,11287.236276
2007-02-23,11247.012738
2007-02-26,11229.71876
2007-02-27,10829.96864
2007-02-28,10885.97316
2007-03-01,10865.025944
2007-03-02,10743.215499
2007-03-05,10649.43
2007-03-06,10802.706056
2007-03-07,10773.8478
2007-03-08,10850.6286
2007-03-09,10863.59296
2007-03-12,10897.35218
2007-03-13,10674.840855
2007-03-14,10738.360404
2007-03-15,10781.81632
2007-03-16,10729.16781
2007-03-19,10846.616572
2007-03-20,10917.007156
2007-03-21,11100.464912
2007-03-22,11083.25604
2007-03-23,11104.720575
2007-03-26,11120.35625
2007-03-27,11048.155435
2007-03-28,10953.912393
2007-03-29,10992.031563
2007-03-30,10984.384488
2007-04-02,11009.919585
2007-04-03,11116.118755
2007-04-04,11132.951202
2007-04-05,11155.500392
2007-04-09,11171.891435
2007-04-10,11201.84826
2007-04-11,11117.429055
2007-04-12,11185.7028
2007-04-13,11218.471845
2007-04-16,11347.107407
2007-04-17,11379.249136
2007-04-18,11371.5285
2007-04-19,11348.888045
2007-04-20,11456.064865
2007-04-23,11437.22239
2007-04-24,11437.499619
2007-04-25,11543.14698
2007-04-26,11545.1732
2007-04-27,11536.610912
2007-04-30,11422.402035
2007-05-01,11452.68465
2007-05-02,11526.81156
2007-05-03,11576.666145
2007-05-04,11601.55491
2007-05-07,11631.29814
2007-05-08,11603.41312
2007-05-09,11637.03423
2007-05-10,11475.221033
2007-05-11,11559.80811
2007-05-14,11545.69515
2007-05-15,11534.393365
2007-05-16,11631.169238
2007-05-17,11603.548875
2007-05-18,11677.208375
2007-05-21,11688.3664
2007-05-22,11666.37654
2007-05-23,11650.00884
2007-05-24,11535.315769
2007-05-25,11598.820679
2007-05-29,11613.845122
2007-05-30,11700.13858
2007-05-31,11705.41645
2007-06-01,11747.316542
2007-06-04,11773.18782
2007-06-05,11700.43847
2007-06-06,11585.1963
2007-06-07,11401.02656
2007-06-08,11541.21385
2007-06-11,11567.4048
2007-06-12,11411.7455
2007-06-13,11567.59344
2007-06-14,11613.255438
2007-06-15,11688.43875
2007-06-18,11681.9115
2007-06-19,11682.95975
2007-06-20,11524.0587
2007-06-21,11597.56561
2007-06-22,11457.02
2007-06-25,11412.02993
2007-06-26,11369.85024
2007-06-27,11475.29812
2007-06-28,11465.98165
2007-06-29,11445.755225
2007-07-02,11555.26515
2007-07-03,11579.86278
2007-07-05,11589.9892
2007-07-06,11632.87444
2007-07-09,11644.357775
2007-07-10,11448.21972
2007-07-11,11486.38188
2007-07-12,11709.8982
2007-07-13,11752.425
2007-07-16,11725.9926
2007-07-17,11716.33594
2007-07-18,11698.32222
2007-07-19,11745.94404
2007-07-20,11613.137
2007-07-23,11657.35234
2007-07-24,11427.24
2007-07-25,11472.20613
2007-07-26,11216.915964
2007-07-27,11029.662
2007-07-30,11153.07697
2007-07-31,11020.032075
2007-08-01,11096.1817
2007-08-02,11147.4984
2007-08-03,10841.0989
2007-08-06,11097.05287
2007-08-07,11179.137713
2007-08-08,11346.48173
2007-08-09,10992.771159
2007-08-10,11009.86936
2007-08-13,11017.49236
2007-08-14,10807.609694
2007-08-15,10669.39749
2007-08-16,10729.88581
2007-08-17,10981.9143
2007-08-20,10968.110625
