"Index","gold"
2000-05-22,79.9722906067467
2000-05-23,79.5644173041488
2000-05-24,79.3044134355358
2000-05-25,78.438320085596
2000-05-26,78.9293709301023
2000-05-30,78.959321697565
2000-05-31,78.7862904519646
2000-06-01,79.0163614197387
2000-06-02,81.5970792789522
2000-06-05,82.7559526438198
2000-06-06,83.8028632337791
2000-06-07,83.2809076842262
2000-06-08,82.3549765586852
2000-06-09,82.236003060703
2000-06-12,83.0759176027711
2000-06-13,82.7849491233727
2000-06-14,84.5516912751085
2000-06-15,83.97177569709
2000-06-16,83.7108136869816
2000-06-19,82.8119445410528
2000-06-20,82.8429420824784
2000-06-21,82.8739410252078
2000-06-22,82.6699619844679
2000-06-23,81.9720573244094
2000-06-26,82.2369965851203
2000-06-27,82.817947726671
2000-06-28,84.8198262092092
2000-06-29,83.896950276349
2000-06-30,84.1309827300573
2000-07-05,82.3379132322435
2000-07-06,82.138864679038
2000-07-07,82.1408489252648
2000-07-10,82.2588541222987
2000-07-11,81.8517921746197
2000-07-12,81.3306865158412
2000-07-13,81.2107419143031
2000-07-14,81.534707946022
2000-07-17,82.196872351834
2000-07-18,81.9407861784106
2000-07-19,80.9255905974391
2000-07-20,81.1576353016612
2000-07-21,81.2436708027358
2000-07-24,80.869532838926
2000-07-25,80.8975620685085
2000-07-26,81.0416129495502
2000-07-27,80.8066402209702
2000-07-28,80.5465722427069
2000-07-31,80.2835888518203
2000-08-01,80.3087128282322
2000-08-02,80.1956076403743
2000-08-03,79.3012776678848
2000-08-04,79.0711429407864
2000-08-07,79.2171311243763
2000-08-08,79.1301112073594
2000-08-09,78.7810800539897
2000-08-10,78.8980580953144
2000-08-11,79.7943726643566
2000-08-14,79.5903722537333
2000-08-15,79.6416487635701
2000-08-16,80.4334670548491
2000-08-17,80.5514365186353
2000-08-18,80.2884373630805
2000-08-21,79.7972639044889
2000-08-22,79.3331576803989
2000-08-23,78.6312999422291
2000-08-24,79.1591178463651
2000-08-25,79.5071975144326
2000-08-28,79.478190875427
2000-08-29,79.3041510413932
2000-08-30,79.4386292656295
2000-08-31,80.7128019098306
2000-09-01,80.3367452107483
2000-09-05,79.9916145865961
2000-09-06,79.5314011845526
2000-09-07,79.4695518373
2000-09-08,79.27035719817
2000-09-11,79.2046935018855
2000-09-12,79.1476453718889
2000-09-13,79.1090860446574
2000-09-14,78.9892731656797
2000-09-15,78.9583677599811
2000-09-18,78.6983470757222
2000-09-19,78.8500007307067
2000-09-20,78.0052418812898
2000-09-21,78.3850596798584
2000-09-22,78.8286185858534
2000-09-25,79.5014360537255
2000-09-26,79.4415078940272
2000-09-27,80.7505817618052
2000-09-28,79.9422970995171
2000-09-29,79.3612058275831
2000-10-02,79.2085204626519
2000-10-03,78.7734681715718
2000-10-04,78.3964228526357
2000-10-05,78.4834333108517
2000-10-06,78.1063879919157
2000-10-09,78.3384158804917
2000-10-10,79.004541772238
2000-10-11,78.450639297913
2000-10-12,80.1617622992353
2000-10-13,78.9997703326885
2000-10-16,78.7359044707134
2000-10-17,78.6227523391772
2000-10-18,78.3879004730528
2000-10-19,78.3289535763631
2000-10-20,78.646053219303
2000-10-23,78.3327384980145
2000-10-24,78.3327384980145
2000-10-25,77.1998193820795
2000-10-26,76.8255945374322
2000-10-27,76.6833646507208
2000-10-30,76.6469545732424
2000-10-31,76.8163144028018
2000-11-01,76.5244830705685
2000-11-02,76.6666919377224
2000-11-03,76.7228309718577
2000-11-06,76.6966150294344
2000-11-07,76.6367695466623
2000-11-08,76.8425275426174
2000-11-09,77.0707803186689
2000-11-10,76.6975416415936
2000-11-13,76.635843635155
2000-11-14,76.8144583758757
2000-11-15,76.8678098663624
2000-11-16,77.0754361506522
2000-11-17,77.0427153558387
2000-11-20,77.2260213114645
2000-11-21,77.0585392290406
2000-11-22,77.2288200655438
2000-11-27,78.3289535763631
2000-11-28,78.2391180896209
2000-11-29,77.2503546021889
2000-11-30,78.3261148851246
2000-12-01,77.9182471877419
2000-12-04,78.4944184819202
2000-12-05,78.4064807108931
2000-12-06,79.537343413454
2000-12-07,79.2183821383727
2000-12-08,78.9274637555863
2000-12-11,78.3513274940038
2000-12-12,78.378431162405
2000-12-13,77.8845440789419
2000-12-14,77.9986452434986
2000-12-15,78.4045861481116
2000-12-18,78.2072846704593
2000-12-19,78.2053950122412
2000-12-20,79.014452143267
2000-12-21,79.3614468518423
2000-12-22,79.3700764311684
2000-12-26,79.4783902108972
2000-12-27,79.7983117294296
2000-12-28,78.7939051369901
2000-12-29,78.8742359301629
2001-01-02,77.8350135936803
2001-01-03,77.713381822328
2001-01-04,77.5178904789012
2001-01-05,77.7152595694635
2001-01-08,77.7180761901667
2001-01-09,77.5665199257985
2001-01-10,76.7527540635698
2001-01-11,76.5479314379228
2001-01-12,76.5198605195512
2001-01-16,76.3440410296503
2001-01-17,76.3132018355577
2001-01-18,76.6031456115287
2001-01-19,76.6321399891258
2001-01-22,77.2578207490082
2001-01-23,77.1745475681133
2001-01-24,76.6525100422861
2001-01-25,76.7105142118225
2001-01-26,76.2174787707635
2001-01-29,76.2174787707635
2001-01-30,77.0005350595042
2001-01-31,77.0248848155487
2001-02-01,77.8574288497841
2001-02-02,77.4533397681857
2001-02-05,76.8986637741451
2001-02-06,76.3440410296503
2001-02-07,76.1981449817873
2001-02-08,75.4134649322307
2001-02-09,75.3563873748536
2001-02-12,75.5974753933583
2001-02-13,75.4732767837109
2001-02-14,75.2114154868681
2001-02-15,73.9718067023461
2001-02-16,74.868910205446
2001-02-20,74.2572925805001
